Parcours,DÇpart,ArrivÇe,Nombre de voyages,Poids de voyages,Nombre d'abonnements
TOULOUSE MATABIAU - VERNET-D'ARIEGE,TOULOUSE MATABIAU,VERNET-D'ARIEGE,52,"0,000609355957626324",0
BEAUCAIRE - MONTPELLIER SAINT-ROCH,BEAUCAIRE,MONTPELLIER SAINT-ROCH,49,"0,000574200806224806",0
CERBERE - PERPIGNAN,CERBERE,PERPIGNAN,49,"0,000574200806224806",0
FRONTIGNAN - PERPIGNAN,FRONTIGNAN,PERPIGNAN,49,"0,000574200806224806",0
AUTERIVE - SAINT-AGNE,AUTERIVE,SAINT-AGNE,48,"0,000562482422424299",0
AGEN - CASTELNAU D'ESTRETEFONDS,AGEN,CASTELNAU D'ESTRETEFONDS,47,"0,000550764038623793",0
BANYULS SUR MER - NARBONNE,BANYULS SUR MER,NARBONNE,47,"0,000550764038623793",0
BEZIERS - VERG‘ZE - CODOGNAN,BEZIERS,VERG‘ZE,47,"0,000550764038623793",0
BRAM - CARCASSONNE,BRAM,CARCASSONNE,47,"0,000550764038623793",0
CASTELNAUDARY - PERPIGNAN,CASTELNAUDARY,PERPIGNAN,47,"0,000550764038623793",0
SETE - VERG‘ZE - CODOGNAN,SETE,VERG‘ZE,47,"0,000550764038623793",0
CARCASSONNE - COLLIOURE,CARCASSONNE,COLLIOURE,46,"0,000539045654823287",0
MONTPELLIER SAINT-ROCH - VIC - MIREVAL,MONTPELLIER SAINT-ROCH,VIC,46,"0,000539045654823287",0
MURET - SAINT-GAUDENS,MURET,SAINT-GAUDENS,46,"0,000539045654823287",0
SAINT-GAUDENS - TARBES,SAINT-GAUDENS,TARBES,46,"0,000539045654823287",0
L'ISLE JOURDAIN - SAINT-AGNE,L'ISLE JOURDAIN,SAINT-AGNE,45,"0,000527327271022781",0
MONTAUBAN - VALENCE D'AGEN,MONTAUBAN,VALENCE D'AGEN,45,"0,000527327271022781",0
SETE - TARASCON,SETE,TARASCON,45,"0,000527327271022781",0
GRAND COMBE LA PISE - NIMES,GRAND COMBE LA PISE,NIMES,44,"0,000515608887222274",0
LONGAGES - NOê - SAINT-AGNE,LONGAGES,NOê,44,"0,000515608887222274",0
MONTRêJEAU - GOURDAN-POLIGNAN - TARBES,MONTRêJEAU,GOURDAN-POLIGNAN,44,"0,000515608887222274",0
PINS JUSTARET - SAINT-AGNE,PINS JUSTARET,SAINT-AGNE,44,"0,000515608887222274",0
SAINT-AGNE - SAVERDUN,SAINT-AGNE,SAVERDUN,44,"0,000515608887222274",0
AX LES THERMES - FOIX,AX LES THERMES,FOIX,43,"0,000503890503421768",0
FOIX - PORTET SAINT-SIMON,FOIX,PORTET SAINT-SIMON,43,"0,000503890503421768",0
MONTRêJEAU - GOURDAN-POLIGNAN - SAINT-AGNE,MONTRêJEAU,GOURDAN-POLIGNAN,43,"0,000503890503421768",0
AGEN - CASTELSARRASIN,AGEN,CASTELSARRASIN,42,"0,000492172119621262",0
COARRAZE - NAY - TOULOUSE MATABIAU,COARRAZE,NAY,42,"0,000492172119621262",0
COLOMIERS - SAINT-CYPRIEN AR‘NES,COLOMIERS,SAINT-CYPRIEN AR‘NES,42,"0,000492172119621262",0
